"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"01:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"02:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"02:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"02:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"02:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"03:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"03:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"03:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"03:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"04:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"04:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"04:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"04:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"05:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"05:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"05:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"05:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"06:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"06:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"06:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"06:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"07:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"07:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"07:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"07:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"08:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"08:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"08:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"08:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"09:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"09:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"09:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"09:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"10:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"10:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"10:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"10:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"11:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"11:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"11:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"11:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"12:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"12:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"12:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"12:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"13:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"13:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"13:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"13:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"14:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"14:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"14:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"14:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"15:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"15:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
